PHOT_CAT v1.0
5
U B V R I
HD 52533          6.6560  7.6140  7.7020  7.7130  7.7400 11111
HD 5505          11.0340 10.0790  9.0010  8.4480  7.9450 11111
HD 57884         15.2980 11.4340  9.1350  7.8710  6.8480 22222
HD 60826         16.8420 11.7240  8.9830  7.4880  6.3060 22222
HD 65079          6.8640  7.6500  7.8320  7.8870  7.9620 11111
HD 72055          7.5160  7.9760  8.1130  8.1440  8.1990 11111
HD 76082         10.6170  9.5270  8.4090  7.8240  7.3080 11111
HD 79097         11.1620  9.2290  7.6010  6.6110  5.5140 22222
HD 84971          7.7070  8.4770  8.6360  8.6990  8.7880 11111
HD 97503         11.0010  9.8800  8.7020  7.9820  7.3850 11111
M67 F108         12.6130 11.0740  9.7010  8.9860  8.3500 11111
M67 F111         13.3590 13.2940 12.7300 12.4020 12.0760 11111
M67 F117         13.4170 13.4170 12.6300 12.1630 11.7290 01111
M67 F124         12.5980 12.5770 12.1180 11.8380 11.5580 11111
M67 F127         13.3640 13.3280 12.7690 12.4390 12.1180 11111
M67 F130         13.3300 13.3230 12.8690 12.5800 12.2890 11111
M67 F132         13.7800 13.7000 13.0910 12.7410 12.3860 11111
M67 F134         12.8400 12.8400 12.2560 11.9190 11.5870 01111
M67 F135         12.5020 12.5020 11.4360 10.8800 10.3830 01111
M67 F149         13.1430 13.1430 12.5500 12.2080 11.8770 01111
M67 F170         12.4840 11.0200  9.6630  8.9610  8.3360 11111
M67 F176         13.2260 13.2260 12.6490 12.6490 12.6490 01100
M67 F81           9.5560  9.9410 10.0270 10.0590 10.0950 11111
M67 F95          13.1750 13.1750 12.6680 12.3750 12.0710 01111
M67 I-12         13.3770 13.3770 12.8210 12.4920 12.1700 01111
M67 I-198        13.7750 13.7260 13.1520 12.8190 12.5240 11111
M67 I-199        13.7970 13.7290 13.1520 12.8190 12.4910 11111
M67 I-242        10.8840 10.8840 10.8840 10.6160 10.3510 00111
M67 I-51         14.2000 14.2000 14.2000 13.8630 13.5810 00111
M67 I-9          13.7780 13.7780 13.1940 12.8680 12.5420 01111
Mark A           11.8540 13.0160 13.2580 13.3730 13.4990 11111
Mark A1          16.5060 16.5200 15.9110 15.5440 15.1710 01110
Mark A2          15.3020 15.2060 14.5400 14.1610 13.7890 11111
Mark A3          16.4070 15.7560 14.8180 14.2310 13.7200 11111
PG 0029+024      15.4460 15.6300 15.2680 15.0170 14.6750 00000
PG 0039+049      11.9870 12.8580 12.8770 12.8100 12.7130 00000
PG 0220+132      13.7060 14.6280 14.7600 14.8100 14.9300 00000
PG 0220+132A     16.2150 16.5540 15.7710 15.2570 14.7760 00000
PG 0220+132B     15.4720 15.1530 14.2160 13.6540 13.1580 00000
